Java HotSpot(TM) 64-Bit Server VM (25.5-b02) for windows-amd64 JRE (1.8.0_05-b13), built on Mar 18 2014 01:08:39 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 4140908k(1807064k free), swap 6500204k(3230000k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=1073741824 -XX:MetaspaceSize=134217728 -XX:+PrintGC -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
0.079: [GC (Allocation Failure)  512K->496K(523776K), 0.0007287 secs]
0.121: [GC (Allocation Failure)  1008K->806K(523776K), 0.0011856 secs]
0.152: [GC (Allocation Failure)  1318K->1048K(523776K), 0.0012249 secs]
0.184: [GC (Allocation Failure)  1542K->1195K(524288K), 0.0009741 secs]
0.292: [GC (Allocation Failure)  2219K->1275K(524288K), 0.0012410 secs]
0.850: [GC (Allocation Failure)  2277K->1427K(525824K), 0.0009415 secs]
0.871: [GC (Allocation Failure)  3475K->2151K(525824K), 0.0034319 secs]
0.936: [GC (Allocation Failure)  4199K->2468K(528384K), 0.0014092 secs]
1.060: [GC (Allocation Failure)  6564K->2944K(528384K), 0.0021508 secs]
1.266: [GC (Allocation Failure)  7040K->4020K(529920K), 0.0053137 secs]
1.340: [GC (Allocation Failure)  9652K->6469K(530944K), 0.0045238 secs]
1.381: [GC (Allocation Failure)  12101K->8690K(534016K), 0.0060361 secs]
1.439: [GC (Allocation Failure)  17394K->12236K(534528K), 0.0084814 secs]
1.764: [GC (Allocation Failure)  20940K->15207K(541184K), 0.0155073 secs]
2.112: [GC (Allocation Failure)  29031K->15579K(541696K), 0.0070629 secs]
3.522: [GC (Allocation Failure)  29403K->20937K(548352K), 0.0079236 secs]
6.637: [GC (Allocation Failure)  41929K->27959K(549888K), 0.0153877 secs]
8.572: [GC (Allocation Failure)  48951K->31955K(560640K), 0.0127375 secs]
11.464: [GC (Allocation Failure)  60627K->35523K(561664K), 0.0121258 secs]
15.789: [GC (Allocation Failure)  64195K->40678K(572416K), 0.0201650 secs]
20.159: [GC (Allocation Failure)  79590K->47373K(573952K), 0.0160115 secs]
23.461: [GC (Allocation Failure)  84547K->51160K(590336K), 0.0169834 secs]
26.387: [GC (Allocation Failure)  105432K->56460K(590848K), 0.0153506 secs]
29.397: [GC (Allocation Failure)  110732K->60915K(613888K), 0.0379788 secs]
33.032: [GC (Allocation Failure)  136691K->66485K(606208K), 0.0229244 secs]
37.011: [GC (Allocation Failure)  138677K->76533K(607232K), 0.0267071 secs]
41.442: [GC (Allocation Failure)  145141K->82942K(601600K), 0.0283956 secs]
45.495: [GC (Allocation Failure)  148478K->87287K(602112K), 0.0189856 secs]
48.044: [GC (Allocation Failure)  149751K->89201K(592384K), 0.0241618 secs]
62.538: [GC (Allocation Failure)  148593K->108576K(594432K), 0.0399819 secs]
63.474: [GC (Allocation Failure)  161312K->141929K(601088K), 0.0830463 secs]
67.897: [GC (Allocation Failure)  194665K->155741K(626688K), 0.0567199 secs]
75.301: [GC (System.gc())  201538K->153169K(628736K), 0.0360881 secs]
75.337: [Full GC (System.gc())  153169K->125123K(628736K), 0.7302261 secs]
135.304: [GC (System.gc())  126899K->125283K(628224K), 0.0073377 secs]
135.312: [Full GC (System.gc())  125283K->124776K(628224K), 1.0121151 secs]
196.568: [GC (System.gc())  126218K->125379K(592384K), 0.0122427 secs]
196.580: [Full GC (System.gc())  125379K->124734K(592384K), 0.6128074 secs]
256.581: [GC (System.gc())  125347K->124838K(627200K), 0.0056595 secs]
256.587: [Full GC (System.gc())  124838K->124708K(627200K), 0.4443359 secs]
316.581: [GC (System.gc())  148840K->126204K(592896K), 0.0050227 secs]
316.586: [Full GC (System.gc())  126204K->126005K(592896K), 0.6144031 secs]
376.600: [GC (System.gc())  126665K->126069K(623616K), 0.0097148 secs]
376.610: [Full GC (System.gc())  126069K->125565K(623616K), 0.5281823 secs]
436.603: [GC (System.gc())  126112K->125629K(591872K), 0.0106608 secs]
436.614: [Full GC (System.gc())  125629K->125539K(591872K), 0.4326046 secs]
496.616: [GC (System.gc())  126086K->125667K(622080K), 0.0129517 secs]
496.629: [Full GC (System.gc())  125667K->125539K(622080K), 0.3025831 secs]
556.628: [GC (System.gc())  126282K->125635K(591872K), 0.0073761 secs]
556.635: [Full GC (System.gc())  125635K->125540K(591872K), 0.2775355 secs]
616.805: [GC (System.gc())  138831K->126747K(618496K), 0.0139348 secs]
616.819: [Full GC (System.gc())  126747K->126338K(618496K), 0.4740885 secs]
684.041: [GC (System.gc())  176374K->127764K(592896K), 0.0136719 secs]
684.055: [Full GC (System.gc())  127764K->126370K(592896K), 0.6135089 secs]
712.897: [GC (Allocation Failure)  194978K->131182K(620544K), 0.0150204 secs]
742.663: [GC (Allocation Failure)  201838K->132247K(618496K), 0.0090401 secs]
752.147: [GC (Allocation Failure)  202843K->144354K(632832K), 0.0165180 secs]
759.836: [GC (Allocation Failure)  231394K->157076K(626176K), 0.0382751 secs]
761.988: [GC (Allocation Failure)  240020K->155296K(622592K), 0.0226540 secs]
763.270: [GC (System.gc())  168015K->149886K(602112K), 0.0195581 secs]
763.290: [Full GC (System.gc())  149886K->146997K(602112K), 1.0988673 secs]
